layer_type,district_code,ward_code,zoom_level,x,y,size_bytes,extracted_relpath,source_url
ward_planning_map,HCM_Q10,HCM_Q10_Phuong1,10,0,0,8707,Media/Ban_do/HoChiMinh/HCM_Q10/HCM_Q10_Phuong1/10/0_0.jpeg,https://bandoquyhoach.vn/Media/Ban_do/HoChiMinh/HCM_Q10/HCM_Q10_Phuong1/10/0_0.jpeg
ward_planning_map,HCM_Q10,HCM_Q10_Phuong1,10,0,1,6453,Media/Ban_do/HoChiMinh/HCM_Q10/HCM_Q10_Phuong1/10/0_1.jpeg,https://bandoquyhoach.vn/Media/Ban_do/HoChiMinh/HCM_Q10/HCM_Q10_Phuong1/10/0_1.jpeg
ward_planning_map,HCM_Q10,HCM_Q10_Phuong1,10,0,2,2692,Media/Ban_do/HoChiMinh/HCM_Q10/HCM_Q10_Phuong1/10/0_2.jpeg,https://bandoquyhoach.vn/Media/Ban_do/HoChiMinh/HCM_Q10/HCM_Q10_Phuong1/10/0_2.jpeg
ward_planning_map,HCM_Q10,HCM_Q10_Phuong1,10,1,0,9649,Media/Ban_do/HoChiMinh/HCM_Q10/HCM_Q10_Phuong1/10/1_0.jpeg,https://bandoquyhoach.vn/Media/Ban_do/HoChiMinh/HCM_Q10/HCM_Q10_Phuong1/10/1_0.jpeg
ward_planning_map,HCM_Q10,HCM_Q10_Phuong1,10,1,1,11328,Media/Ban_do/HoChiMinh/HCM_Q10/HCM_Q10_Phuong1/10/1_1.jpeg,https://bandoquyhoach.vn/Media/Ban_do/HoChiMinh/HCM_Q10/HCM_Q10_Phuong1/10/1_1.jpeg
ward_planning_map,HCM_Q10,HCM_Q10_Phuong1,10,1,2,4613,Media/Ban_do/HoChiMinh/HCM_Q10/HCM_Q10_Phuong1/10/1_2.jpeg,https://bandoquyhoach.vn/Media/Ban_do/HoChiMinh/HCM_Q10/HCM_Q10_Phuong1/10/1_2.jpeg
ward_planning_map,HCM_Q10,HCM_Q10_Phuong1,10,2,0,3161,Media/Ban_do/HoChiMinh/HCM_Q10/HCM_Q10_Phuong1/10/2_0.jpeg,https://bandoquyhoach.vn/Media/Ban_do/HoChiMinh/HCM_Q10/HCM_Q10_Phuong1/10/2_0.jpeg
ward_planning_map,HCM_Q10,HCM_Q10_Phuong1,10,2,1,2096,Media/Ban_do/HoChiMinh/HCM_Q10/HCM_Q10_Phuong1/10/2_1.jpeg,https://bandoquyhoach.vn/Media/Ban_do/HoChiMinh/HCM_Q10/HCM_Q10_Phuong1/10/2_1.jpeg
ward_planning_map,HCM_Q10,HCM_Q10_Phuong1,10,2,2,1688,Media/Ban_do/HoChiMinh/HCM_Q10/HCM_Q10_Phuong1/10/2_2.jpeg,https://bandoquyhoach.vn/Media/Ban_do/HoChiMinh/HCM_Q10/HCM_Q10_Phuong1/10/2_2.jpeg
ward_planning_map,HCM_Q10,HCM_Q10_Phuong1,11,1,1,12407,Media/Ban_do/HoChiMinh/HCM_Q10/HCM_Q10_Phuong1/11/1_1.jpeg,https://bandoquyhoach.vn/Media/Ban_do/HoChiMinh/HCM_Q10/HCM_Q10_Phuong1/11/1_1.jpeg
ward_planning_map,HCM_Q10,HCM_Q10_Phuong1,11,1,2,13198,Media/Ban_do/HoChiMinh/HCM_Q10/HCM_Q10_Phuong1/11/1_2.jpeg,https://bandoquyhoach.vn/Media/Ban_do/HoChiMinh/HCM_Q10/HCM_Q10_Phuong1/11/1_2.jpeg
ward_planning_map,HCM_Q10,HCM_Q10_Phuong1,11,1,3,9336,Media/Ban_do/HoChiMinh/HCM_Q10/HCM_Q10_Phuong1/11/1_3.jpeg,https://bandoquyhoach.vn/Media/Ban_do/HoChiMinh/HCM_Q10/HCM_Q10_Phuong1/11/1_3.jpeg
ward_planning_map,HCM_Q10,HCM_Q10_Phuong1,11,2,1,9439,Media/Ban_do/HoChiMinh/HCM_Q10/HCM_Q10_Phuong1/11/2_1.jpeg,https://bandoquyhoach.vn/Media/Ban_do/HoChiMinh/HCM_Q10/HCM_Q10_Phuong1/11/2_1.jpeg
ward_planning_map,HCM_Q10,HCM_Q10_Phuong1,11,2,2,12287,Media/Ban_do/HoChiMinh/HCM_Q10/HCM_Q10_Phuong1/11/2_2.jpeg,https://bandoquyhoach.vn/Media/Ban_do/HoChiMinh/HCM_Q10/HCM_Q10_Phuong1/11/2_2.jpeg
ward_planning_map,HCM_Q10,HCM_Q10_Phuong1,11,2,3,13674,Media/Ban_do/HoChiMinh/HCM_Q10/HCM_Q10_Phuong1/11/2_3.jpeg,https://bandoquyhoach.vn/Media/Ban_do/HoChiMinh/HCM_Q10/HCM_Q10_Phuong1/11/2_3.jpeg
ward_planning_map,HCM_Q10,HCM_Q10_Phuong1,11,3,1,4351,Media/Ban_do/HoChiMinh/HCM_Q10/HCM_Q10_Phuong1/11/3_1.jpeg,https://bandoquyhoach.vn/Media/Ban_do/HoChiMinh/HCM_Q10/HCM_Q10_Phuong1/11/3_1.jpeg
ward_planning_map,HCM_Q10,HCM_Q10_Phuong1,11,3,2,9180,Media/Ban_do/HoChiMinh/HCM_Q10/HCM_Q10_Phuong1/11/3_2.jpeg,https://bandoquyhoach.vn/Media/Ban_do/HoChiMinh/HCM_Q10/HCM_Q10_Phuong1/11/3_2.jpeg
ward_planning_map,HCM_Q10,HCM_Q10_Phuong1,11,3,3,12398,Media/Ban_do/HoChiMinh/HCM_Q10/HCM_Q10_Phuong1/11/3_3.jpeg,https://bandoquyhoach.vn/Media/Ban_do/HoChiMinh/HCM_Q10/HCM_Q10_Phuong1/11/3_3.jpeg
ward_planning_map,HCM_Q10,HCM_Q10_Phuong1,11,4,1,2252,Media/Ban_do/HoChiMinh/HCM_Q10/HCM_Q10_Phuong1/11/4_1.jpeg,https://bandoquyhoach.vn/Media/Ban_do/HoChiMinh/HCM_Q10/HCM_Q10_Phuong1/11/4_1.jpeg
